Action,Unit,Check Type,682 Status,682 LL,682 Typ,682 UL
5.2.1_2 Verify Connection to UUT,,NC,Enable,,,
5.2.2_3 Check Environment value from Lux sense,Lux,GELE,Enable,0,,5
5.2.2_4 Start Test mode,,NC,Enable,,,
5.2.2_5 Start camera test mode,,NC,Enable,,,
5.2.2_6 get one RAW Image,,NC,Enable,,,
5.2.2_7 Find Image  in the CLI tool directory,,NC,Enable,,,
5.2.2_9 Write black calibration data to UUT,,NC,Enable,,,
5.2.2_10 Stop camera test mode,,NC,Enable,,,
5.2.2_11 Stop Test Mode,,NC,Enable,,,
5.2.2_12 Reboot UUT by EOL Test Command,,NC,Enable,,,
5.2.2_13 Re-connect UUT by NFC,,NC,Enable,,,
5.2.2_14 verify OBC setting by EOL Test command,,NC,Enable,,,
5.2.3_2 Verify Connection to UUT through EOL Test command,,NC,Enable,,,
5.2.3_3 Check Environment value from Lux sensor via I2C host,,GELE,Enable,0,,5
5.2.3_9 Adjust the X-axis linear stage_White,,NC,Enable,,,
5.2.3_10 VQT_Uniformity_Initial brightness,,NC,Enable,,,
5.2.3_11 VQT_Uniformity_Mean uniformity,,NC,Enable,,,
5.2.3_12 VQT_Uniformity_Deviation,,NC,Enable,,,
5.2.3_13 VQT_Uniformity_Adjusted brightness,,NC,Enable,,,
5.2.3_14 VQT_Uniformity_Mean uniformity,,NC,Enable,,,
5.2.3_15 VQT_Uniformity_Deviation,%,NC,Enable,,,
5.2.3_7 Adjust the X-axis linear stage_Black,,NC,Enable,,,
5.2.3_8 Check Test item Reflection result,%,NC,Enable,,,
